Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
35,male,United States,No,No,Yes,Never,26-100,Yes,Yes,No,No,Dont know,Dont know,No,Somewhat difficult,No,Maybe,No,No,No,Yes,Dont know,No
21,female,Australia,Yes,Yes,Yes,Rarely,1-5,No,Yes,No,Yes,No,Yes,Yes,Somewhat easy,Yes,Yes,No,Some of them,Yes,Yes,Yes,No
42,male,France,Yes,Yes,Yes,Rarely,26-100,Yes,Yes,No,No,No,Yes,Yes,Somewhat difficult,Maybe,No,No,Some of them,Yes,Yes,No,No
31,female,Germany,Yes,Yes,Yes,Rarely,100-500,Yes,No,Dont know,Yes,Yes,No,Yes,Somewhat difficult,Yes,Yes,Some of them,Yes,Maybe,No,No,No
26,male,Germany,Yes,Yes,No,Sometimes,26-100,No,Yes,No,Not sure,Yes,Yes,No,Somewhat easy,Yes,No,No,No,No,No,Dont know,No
43,male,Germany,Yes,Yes,No,Sometimes,100-500,No,Yes,No,Yes,Yes,Dont know,No,Very easy,Yes,Maybe,Some of them,No,No,Yes,Yes,No
19,male,India,No,No,No,Never,500-1000,Yes,Yes,Dont know,Yes,Yes,Dont know,Dont know,Dont know,Maybe,Maybe,No,Some of them,No,No,No,Yes
37,male,France,No,Yes,No,Never,More than 1000,No,Yes,Dont know,Not sure,Yes,Yes,Yes,Very difficult,Yes,Yes,Yes,Yes,No,No,Yes,Yes
45,female,United Kingdom,No,Yes,Yes,Rarely,1-5,No,Yes,Dont know,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,No,Some of them,Yes,Maybe,No,Yes
64,male,Australia,Yes,Yes,No,Sometimes,500-1000,No,Yes,Dont know,No,No,Yes,Dont know,Somewhat difficult,No,No,Yes,Yes,Yes,No,Dont know,No
24,male,Germany,Yes,Yes,No,Often,6-25,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,Yes,No,Some of them,Yes,Maybe,Maybe,Dont know,Yes
61,female,Canada,No,Yes,No,Often,26-100,Yes,Yes,Yes,Yes,No,No,Dont know,Dont know,No,No,Some of them,Yes,No,Yes,No,Yes
25,male,France,Yes,No,Yes,Rarely,6-25,No,Yes,No,Yes,Dont know,Dont know,Dont know,Somewhat difficult,No,Yes,No,Some of them,No,No,Yes,Yes
64,male,Other,Yes,Yes,No,Rarely,26-100,No,Yes,Yes,Not sure,Dont know,No,Yes,Very difficult,No,Maybe,Some of them,Yes,Yes,Maybe,No,Yes
52,female,India,No,Yes,Yes,Sometimes,More than 1000,Yes,Yes,No,Yes,Yes,No,No,Very difficult,Maybe,Yes,No,Some of them,Maybe,No,Yes,Yes
31,male,France,Yes,Yes,No,Sometimes,500-1000,No,Yes,Yes,Yes,No,No,No,Very difficult,No,Maybe,Some of them,Some of them,Yes,Maybe,No,No
34,male,Australia,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Dont know,No,Dont know,No,No,Very easy,Yes,Yes,Yes,No,No,Maybe,Dont know,Yes
53,female,India,Yes,No,Yes,Never,100-500,No,Yes,Dont know,Yes,Dont know,Dont know,No,Somewhat difficult,Yes,Yes,Some of them,Some of them,No,No,Yes,No
57,male,Australia,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat difficult,No,No,Yes,Some of them,Maybe,Yes,Dont know,No
21,male,France,Yes,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Dont know,Dont know,Dont know,Very easy,No,Maybe,No,No,Yes,Maybe,Yes,Yes
19,male,United Kingdom,Yes,No,Yes,Never,100-500,Yes,No,No,Yes,Dont know,No,Dont know,Somewhat difficult,Yes,Yes,No,No,No,Yes,No,No
23,female,Other,No,Yes,No,Sometimes,26-100,Yes,Yes,No,No,No,Yes,Yes,Very easy,No,Yes,No,No,No,No,Dont know,Yes
59,male,Australia,Yes,Yes,No,Sometimes,100-500,Yes,Yes,No,No,Dont know,Yes,No,Somewhat easy,Maybe,Maybe,Yes,Yes,Maybe,No,Dont know,No
21,male,India,Yes,No,No,Never,500-1000,Yes,Yes,Dont know,Not sure,No,Yes,Dont know,Dont know,No,Yes,No,Yes,No,Yes,Yes,No
46,female,India,No,Yes,Yes,Often,More than 1000,No,No,Dont know,Yes,Dont know,Dont know,Yes,Very difficult,Maybe,Maybe,No,No,No,No,Yes,Yes
35,female,Australia,Yes,Yes,Yes,Rarely,100-500,No,Yes,Dont know,Not sure,No,Yes,Yes,Very easy,Maybe,No,Yes,Yes,Yes,Maybe,Yes,No
43,male,Sweden,No,Yes,Yes,Often,More than 1000,Yes,Yes,Dont know,Not sure,Dont know,Dont know,No,Very easy,Maybe,No,Some of them,No,Maybe,Yes,Dont know,No
61,male,France,Yes,No,No,Rarely,500-1000,No,Yes,No,Yes,Dont know,Dont know,Yes,Very easy,No,Maybe,No,Yes,Maybe,No,No,No
51,male,Sweden,Yes,Yes,Yes,Often,6-25,No,Yes,Dont know,No,No,No,Dont know,Somewhat easy,Maybe,No,Some of them,Some of them,Maybe,No,Yes,No
27,female,Netherlands,Yes,Yes,Yes,Never,500-1000,Yes,No,Dont know,No,Dont know,No,Dont know,Very easy,Maybe,Maybe,Some of them,Yes,Yes,Yes,No,No
53,male,France,Yes,No,Yes,Rarely,1-5,No,Yes,Dont know,Yes,No,Yes,Yes,Dont know,No,Yes,No,Yes,Maybe,Maybe,Yes,No
31,male,Australia,No,Yes,Yes,Rarely,1-5,No,Yes,Dont know,Yes,No,Yes,Dont know,Dont know,Maybe,Yes,No,Some of them,No,Yes,No,No
48,female,United States,Yes,Yes,Yes,Rarely,1-5,Yes,No,Yes,No,Dont know,No,Yes,Very difficult,No,Maybe,Yes,No,Maybe,No,Yes,No
65,female,Australia,No,No,Yes,Sometimes,More than 1000,No,Yes,No,Yes,Yes,Dont know,Dont know,Somewhat easy,Yes,Yes,Yes,Yes,No,No,No,Yes
32,male,Sweden,Yes,Yes,Yes,Sometimes,26-100,No,Yes,No,Yes,Dont know,Dont know,No,Dont know,Maybe,No,No,Yes,Maybe,Yes,Dont know,No
25,female,United Kingdom,Yes,Yes,No,Often,26-100,No,Yes,Dont know,Yes,Yes,No,Dont know,Somewhat difficult,No,Yes,Some of them,Some of them,Maybe,Maybe,Yes,Yes
31,male,Australia,Yes,Yes,No,Never,26-100,Yes,No,Yes,No,Yes,Dont know,No,Somewhat difficult,Yes,Yes,Yes,Some of them,Yes,Maybe,Yes,Yes
40,female,Australia,Yes,Yes,No,Sometimes,More than 1000,Yes,Yes,No,Not sure,Dont know,No,No,Somewhat difficult,Maybe,Maybe,Yes,Some of them,Maybe,Maybe,Dont know,No
57,male,United Kingdom,No,Yes,Yes,Rarely,500-1000,No,Yes,No,Not sure,Yes,No,Yes,Very easy,Maybe,No,No,Some of them,Maybe,Yes,Yes,No
38,male,Australia,No,No,Yes,Sometimes,26-100,No,Yes,Dont know,Yes,No,Yes,No,Very easy,No,Yes,No,No,Yes,Maybe,Yes,Yes
33,female,Germany,No,No,No,Never,6-25,No,Yes,Dont know,No,No,Yes,Dont know,Somewhat difficult,Yes,Yes,No,Yes,No,Maybe,Dont know,Yes
62,male,United States,No,No,Yes,Sometimes,1-5,Yes,Yes,No,Yes,Yes,No,Dont know,Very difficult,No,Maybe,No,Yes,Maybe,Maybe,Dont know,Yes
35,male,Canada,Yes,No,No,Rarely,500-1000,Yes,Yes,No,No,No,Yes,No,Very difficult,Maybe,Maybe,Yes,Yes,Maybe,Maybe,No,No
64,female,United States,No,Yes,Yes,Often,1-5,Yes,Yes,Yes,Yes,Dont know,No,Yes,Very easy,Maybe,No,Yes,Yes,No,No,Dont know,No
41,female,Other,No,Yes,Yes,Rarely,26-100,No,No,No,No,No,Dont know,No,Somewhat difficult,Maybe,Yes,Yes,No,Yes,Yes,Dont know,No
43,male,Australia,Yes,Yes,No,Never,500-1000,No,Yes,No,No,Yes,Dont know,Dont know,Very difficult,Maybe,Maybe,Some of them,Yes,Maybe,Yes,Yes,Yes
42,female,Germany,Yes,Yes,No,Often,100-500,No,Yes,Dont know,Not sure,Dont know,Dont know,Dont know,Very easy,Yes,Maybe,Yes,No,Yes,Maybe,Dont know,No
62,male,France,Yes,Yes,No,Sometimes,6-25,No,Yes,No,Yes,No,Dont know,No,Somewhat difficult,Yes,Maybe,Yes,No,No,Yes,Yes,No
58,male,Australia,Yes,No,No,Sometimes,26-100,No,Yes,Dont know,Not sure,Dont know,No,No,Somewhat easy,No,No,No,Some of them,No,Yes,Dont know,No
46,male,Sweden,No,No,No,Sometimes,26-100,Yes,No,No,Not sure,Yes,Dont know,No,Somewhat difficult,No,Maybe,Yes,Some of them,Yes,No,Dont know,No
32,male,Germany,No,Yes,Yes,Often,6-25,No,Yes,No,No,No,Dont know,Dont know,Somewhat difficult,No,No,Yes,Yes,No,Yes,No,Yes
62,female,United Kingdom,Yes,Yes,Yes,Rarely,6-25,No,Yes,No,Yes,Dont know,Dont know,Dont know,Dont know,Maybe,No,Yes,No,No,No,Dont know,No
18,male,Germany,Yes,Yes,Yes,Often,100-500,No,Yes,Yes,No,Dont know,Dont know,Dont know,Dont know,No,Yes,No,Some of them,Maybe,Yes,Dont know,No
42,male,United Kingdom,Yes,No,No,Often,26-100,Yes,Yes,Dont know,No,No,No,Yes,Somewhat easy,Yes,Yes,Yes,No,Yes,No,Yes,Yes
24,male,Netherlands,No,Yes,No,Never,More than 1000,No,Yes,Yes,No,Dont know,Dont know,Dont know,Somewhat easy,No,No,Yes,Some of them,Maybe,No,Yes,No
26,female,Canada,No,Yes,No,Often,26-100,Yes,Yes,No,Yes,Dont know,Yes,Dont know,Somewhat difficult,No,Yes,Some of them,No,Yes,Yes,No,Yes
41,male,Brazil,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very difficult,Yes,Yes,Some of them,Yes,Maybe,No,Dont know,Yes
18,male,Germany,Yes,No,No,Rarely,500-1000,Yes,Yes,Dont know,No,Yes,Yes,Yes,Somewhat easy,Yes,Maybe,Some of them,Yes,No,No,Yes,No
61,male,India,No,Yes,No,Rarely,500-1000,Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat difficult,Maybe,Yes,Some of them,No,Yes,Yes,Dont know,Yes
25,male,Sweden,Yes,No,Yes,Rarely,1-5,Yes,Yes,Yes,No,Yes,Yes,Yes,Very easy,Yes,No,No,Some of them,Yes,No,No,No
41,male,Australia,Yes,No,Yes,Sometimes,500-1000,No,No,Yes,Yes,Yes,Yes,Yes,Dont know,Yes,Yes,Some of them,Some of them,Yes,No,Yes,Yes
28,female,Sweden,No,No,Yes,Sometimes,6-25,No,Yes,Dont know,Yes,Yes,No,Yes,Very difficult,No,Maybe,Yes,Yes,Yes,No,Yes,Yes
34,female,United States,Yes,No,Yes,Sometimes,500-1000,Yes,Yes,Yes,Not sure,No,Yes,No,Somewhat difficult,Yes,No,Some of them,Yes,No,No,No,No
25,male,Brazil,No,No,Yes,Sometimes,500-1000,Yes,Yes,Dont know,No,Yes,Dont know,No,Very easy,Maybe,Yes,No,Yes,No,No,Dont know,Yes
52,female,United States,Yes,No,No,Sometimes,1-5,Yes,Yes,No,Not sure,Dont know,Yes,No,Dont know,No,No,Some of them,Some of them,No,Maybe,Yes,No
52,female,Netherlands,Yes,Yes,No,Often,100-500,No,Yes,No,Not sure,No,No,No,Very easy,Maybe,Yes,Some of them,Some of them,Maybe,No,Yes,No
50,female,Brazil,No,Yes,No,Sometimes,500-1000,No,No,Yes,No,Dont know,Yes,Dont know,Somewhat difficult,Yes,Maybe,No,Yes,No,No,No,No
22,male,Brazil,No,Yes,No,Sometimes,More than 1000,Yes,Yes,No,No,Yes,Dont know,Yes,Somewhat easy,Maybe,Yes,No,No,Maybe,No,No,No
59,male,United States,Yes,No,No,Sometimes,500-1000,No,No,No,Yes,Yes,Dont know,Dont know,Dont know,Maybe,No,No,Some of them,Maybe,No,No,Yes
56,male,United Kingdom,No,Yes,No,Sometimes,100-500,No,Yes,Yes,No,Dont know,No,Yes,Very easy,Yes,No,No,Yes,No,Yes,Dont know,No
58,male,United States,Yes,No,Yes,Rarely,1-5,Yes,Yes,No,Not sure,Dont know,No,Yes,Somewhat easy,Yes,No,No,No,No,Maybe,Dont know,Yes
45,female,Sweden,Yes,No,No,Sometimes,100-500,Yes,No,Yes,Not sure,Dont know,No,Dont know,Very difficult,No,Yes,No,Some of them,No,Yes,Dont know,No
24,female,United Kingdom,No,No,No,Often,1-5,No,Yes,Dont know,No,No,No,No,Somewhat difficult,No,Yes,Yes,No,Maybe,Maybe,No,Yes
26,female,Sweden,Yes,Yes,No,Often,6-25,No,No,Dont know,Not sure,Yes,Yes,Dont know,Somewhat difficult,No,Yes,Some of them,No,Yes,No,Yes,Yes
25,male,Netherlands,Yes,No,No,Often,1-5,No,Yes,Dont know,Yes,Dont know,Yes,Dont know,Dont know,Yes,Maybe,Some of them,Some of them,No,No,Dont know,Yes
29,male,Australia,No,No,Yes,Never,6-25,Yes,No,Yes,Not sure,Yes,Dont know,Yes,Very easy,Maybe,Maybe,No,Yes,Maybe,Maybe,No,Yes
51,other,Other,No,Yes,Yes,Rarely,6-25,Yes,Yes,Yes,Yes,Dont know,No,Yes,Very difficult,Maybe,Maybe,No,No,Maybe,Maybe,Dont know,No
50,female,France,Yes,Yes,No,Sometimes,1-5,Yes,Yes,No,Not sure,Yes,No,Yes,Dont know,No,No,Yes,Yes,No,Yes,Yes,No
65,male,United Kingdom,No,No,Yes,Never,More than 1000,No,Yes,No,Yes,No,Yes,No,Dont know,No,No,Yes,Some of them,Maybe,Maybe,Yes,Yes
40,female,Netherlands,No,No,Yes,Sometimes,26-100,No,Yes,No,Yes,Yes,No,Dont know,Very easy,Yes,No,No,No,No,No,No,Yes
41,female,Other,No,Yes,No,Never,1-5,Yes,Yes,No,No,Dont know,Dont know,Dont know,Very difficult,Maybe,No,Yes,No,Maybe,Yes,Yes,No
54,male,India,No,Yes,No,Never,500-1000,No,Yes,No,Yes,Yes,Dont know,No,Very easy,No,No,Yes,No,Yes,Maybe,No,Yes
52,male,Netherlands,Yes,Yes,No,Often,More than 1000,Yes,Yes,Yes,No,No,No,Dont know,Somewhat difficult,Yes,Yes,No,No,Maybe,Maybe,No,Yes
61,male,United States,Yes,No,No,Often,More than 1000,No,Yes,Yes,Not sure,No,Dont know,Dont know,Somewhat easy,No,No,No,No,No,Yes,No,No
57,male,United States,Yes,Yes,No,Never,500-1000,Yes,Yes,Dont know,Not sure,Yes,Dont know,Yes,Somewhat difficult,Yes,Yes,No,Some of them,Yes,Maybe,No,Yes
39,male,France,No,Yes,Yes,Often,26-100,No,Yes,Dont know,Not sure,Dont know,Yes,No,Somewhat difficult,Maybe,Maybe,No,No,No,No,Yes,Yes
44,female,Netherlands,No,Yes,No,Never,More than 1000,No,Yes,Dont know,Yes,No,Dont know,Yes,Dont know,Yes,Maybe,Some of them,Some of them,Maybe,Yes,Yes,No
52,male,Canada,No,No,No,Rarely,6-25,Yes,Yes,Dont know,Not sure,No,No,No,Somewhat difficult,No,Maybe,Some of them,Yes,Yes,Maybe,Yes,Yes
18,male,Australia,No,Yes,No,Often,26-100,Yes,Yes,Yes,Not sure,Yes,No,Yes,Very difficult,No,Maybe,No,Some of them,Yes,No,Yes,No
52,male,United States,No,Yes,Yes,Often,500-1000,Yes,Yes,Yes,No,No,Dont know,Dont know,Somewhat difficult,Maybe,Maybe,Yes,No,Maybe,Maybe,No,No
54,male,France,No,Yes,No,Often,26-100,Yes,Yes,Yes,No,No,No,No,Very difficult,Maybe,No,No,Yes,Yes,Yes,No,No
64,female,Australia,No,Yes,No,Rarely,1-5,Yes,No,No,Not sure,Dont know,Yes,No,Very easy,No,No,Some of them,Some of them,Yes,Maybe,Yes,No
31,male,Netherlands,Yes,Yes,No,Never,26-100,No,No,No,Not sure,Dont know,Dont know,Yes,Dont know,No,No,Yes,Some of them,Yes,Maybe,Dont know,Yes
20,male,Netherlands,Yes,No,Yes,Sometimes,6-25,Yes,Yes,Dont know,Yes,Dont know,Dont know,No,Very difficult,No,Maybe,Some of them,Some of them,No,Maybe,Dont know,No
18,female,Brazil,No,No,No,Often,1-5,Yes,Yes,No,Yes,Yes,Dont know,Dont know,Somewhat difficult,Maybe,Maybe,No,No,No,No,Dont know,No
22,male,France,No,No,No,Never,100-500,Yes,Yes,Yes,Not sure,No,No,Dont know,Dont know,No,Yes,Some of them,No,Yes,No,Yes,Yes
43,male,Other,No,Yes,No,Rarely,500-1000,Yes,Yes,Dont know,No,Yes,No,Dont know,Dont know,Maybe,No,Some of them,Some of them,Maybe,Maybe,No,No
31,male,United States,Yes,No,Yes,Sometimes,500-1000,Yes,Yes,Dont know,Not sure,No,Dont know,Yes,Very difficult,No,Maybe,Some of them,Some of them,Maybe,Maybe,No,Yes
56,male,Canada,Yes,No,No,Often,26-100,No,Yes,No,Yes,No,No,No,Very difficult,Yes,Maybe,Yes,Yes,No,Yes,Dont know,No
44,male,Netherlands,No,No,No,Rarely,More than 1000,Yes,Yes,Dont know,No,No,No,Yes,Somewhat easy,Yes,Maybe,Some of them,No,Maybe,Maybe,Dont know,No
26,male,Canada,No,Yes,No,Rarely,1-5,Yes,Yes,No,No,Dont know,Dont know,Dont know,Somewhat easy,No,Yes,Yes,No,Yes,Yes,No,No
32,male,Netherlands,Yes,Yes,Yes,Sometimes,100-500,Yes,Yes,No,Yes,Yes,Dont know,No,Dont know,Yes,Maybe,No,Yes,Maybe,No,Dont know,No
32,female,United States,Yes,No,No,Never,1-5,No,No,Dont know,Not sure,Yes,No,Dont know,Somewhat easy,Maybe,Yes,No,Some of them,No,Maybe,Dont know,Yes
43,male,Australia,Yes,No,No,Often,500-1000,No,Yes,No,Not sure,No,Dont know,No,Somewhat difficult,Yes,Yes,Some of them,Some of them,No,Yes,No,Yes
59,male,Germany,Yes,Yes,No,Often,1-5,Yes,No,No,Not sure,Yes,Dont know,No,Very easy,Yes,No,Yes,Yes,Yes,No,Dont know,Yes
30,male,Australia,No,Yes,Yes,Never,100-500,Yes,No,No,Yes,Dont know,Dont know,Yes,Dont know,Maybe,Maybe,No,Some of them,No,Yes,Dont know,No
49,male,Netherlands,Yes,No,Yes,Never,More than 1000,No,Yes,No,No,Yes,Dont know,No,Very easy,Yes,Yes,Yes,Some of them,No,No,Yes,No
56,female,Sweden,Yes,Yes,No,Never,26-100,No,Yes,Dont know,Yes,No,No,Dont know,Somewhat easy,Yes,Maybe,Yes,Yes,No,Maybe,Dont know,No
49,male,Germany,No,No,Yes,Sometimes,6-25,No,Yes,Yes,Not sure,Dont know,Dont know,No,Very difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,Yes
21,other,Other,Yes,Yes,Yes,Sometimes,1-5,Yes,No,Yes,Yes,Dont know,Yes,Dont know,Dont know,Maybe,No,Some of them,Yes,No,Maybe,No,No
47,male,Germany,Yes,No,Yes,Often,6-25,Yes,No,No,No,No,Dont know,Yes,Somewhat easy,Maybe,Yes,Yes,Some of them,Maybe,Yes,Yes,Yes
54,male,Canada,Yes,No,No,Sometimes,500-1000,No,Yes,No,Yes,Yes,Yes,Dont know,Somewhat difficult,No,No,Yes,Yes,No,No,No,Yes
40,male,France,No,Yes,No,Rarely,26-100,Yes,Yes,No,Not sure,No,Dont know,No,Dont know,No,No,Some of them,Some of them,No,Yes,Yes,Yes
56,other,Canada,Yes,No,Yes,Often,26-100,No,Yes,Yes,No,Yes,Yes,Dont know,Dont know,Yes,No,Yes,No,Maybe,Yes,Yes,No
62,male,Canada,No,No,Yes,Sometimes,1-5,No,Yes,No,Yes,Yes,Yes,Dont know,Very difficult,Yes,Maybe,Some of them,No,Maybe,Maybe,Yes,No
32,male,Other,No,No,Yes,Never,More than 1000,No,Yes,Dont know,Yes,Dont know,Dont know,No,Dont know,Yes,Maybe,Yes,Yes,Yes,Maybe,Dont know,No
60,male,Sweden,Yes,Yes,No,Rarely,26-100,Yes,No,Dont know,No,No,Dont know,Dont know,Very difficult,No,Yes,Some of them,Some of them,Yes,Maybe,Dont know,No
