Country,Age,Gender,EdLevel,UndergradMajor,Employment,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,WorkWeekHrs,WorkRemote,MentalHealth
Other,57,male,Some college,Information systems,Employed part-time,Back-end developer,6-8 years,6-8 years,Very satisfied,Neutral,52,Most of the time,Good
Other,58,female,Bachelors degree,Mathematics,Self-employed,Other,0-2 years,0-2 years,Very satisfied,Slightly dissatisfied,35,Rarely,Excellent
Australia,37,male,Doctoral degree,Information systems,Student,Other,3-5 years,9-11 years,Very satisfied,Slightly dissatisfied,50,Rarely,Good
Germany,53,female,Doctoral degree,Other,Not employed,Other,12+ years,9-11 years,Neutral,Slightly satisfied,52,Most of the time,Good
Brazil,55,male,Some college,Information systems,Employed full-time,Front-end developer,12+ years,6-8 years,Neutral,Slightly dissatisfied,49,Most of the time,Prefer not to say
Germany,28,female,Masters degree,Information systems,Self-employed,Data scientist,6-8 years,0-2 years,Slightly satisfied,Neutral,33,Sometimes,Good
United Kingdom,49,female,Doctoral degree,Information systems,Not employed,Data scientist,9-11 years,0-2 years,Slightly dissatisfied,Slightly satisfied,71,Rarely,Poor
Other,24,male,Some college,Engineering,Student,Other,12+ years,9-11 years,Neutral,Very dissatisfied,33,Sometimes,Good
Canada,36,female,Bachelors degree,Other,Student,Data scientist,3-5 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,62,Full-time remote,Good
United Kingdom,31,male,Secondary school,Other,Employed full-time,Front-end developer,6-8 years,6-8 years,Slightly satisfied,Very dissatisfied,25,Sometimes,Good
Australia,42,male,Bachelors degree,Other,Employed part-time,Other,9-11 years,Not applicable,Very dissatisfied,Neutral,66,Full-time remote,Good
Germany,57,male,Bachelors degree,Other,Self-employed,Data scientist,3-5 years,0-2 years,Slightly satisfied,Very satisfied,72,Never,Fair
Brazil,46,female,Bachelors degree,Information systems,Student,Data scientist,9-11 years,Not applicable,Slightly dissatisfied,Very dissatisfied,46,Most of the time,Excellent
Spain,55,female,Doctoral degree,Other,Employed full-time,Data scientist,9-11 years,12+ years,Slightly dissatisfied,Slightly satisfied,35,Sometimes,Good
Germany,28,female,Some college,Computer science,Employed part-time,Data scientist,9-11 years,9-11 years,Slightly satisfied,Slightly satisfied,32,Most of the time,Poor
Brazil,55,male,Masters degree,Information systems,Self-employed,Full-stack developer,12+ years,0-2 years,Very satisfied,Slightly dissatisfied,36,Never,Poor
Australia,32,female,Secondary school,Computer science,Not employed,Other,12+ years,9-11 years,Neutral,Very dissatisfied,30,Rarely,Good
Canada,48,male,Secondary school,Mathematics,Not employed,Data scientist,12+ years,Not applicable,Slightly dissatisfied,Neutral,57,Never,Good
France,27,male,Doctoral degree,Computer science,Self-employed,Data scientist,6-8 years,3-5 years,Slightly dissatisfied,Slightly satisfied,33,Full-time remote,Prefer not to say
Germany,31,male,Doctoral degree,Other,Student,Other,0-2 years,9-11 years,Very satisfied,Slightly satisfied,63,Full-time remote,Good
France,40,male,Secondary school,Information systems,Self-employed,Other,12+ years,12+ years,Very dissatisfied,Very satisfied,65,Sometimes,Good
Germany,56,male,Bachelors degree,Computer science,Not employed,Data scientist,12+ years,9-11 years,Very dissatisfied,Slightly satisfied,79,Never,Good
Spain,43,male,Secondary school,Engineering,Employed part-time,Other,12+ years,3-5 years,Very dissatisfied,Neutral,65,Most of the time,Good
Germany,49,female,Doctoral degree,Computer science,Not employed,Other,9-11 years,Not applicable,Very dissatisfied,Slightly dissatisfied,29,Never,Good
France,60,male,Doctoral degree,Other,Self-employed,Data scientist,6-8 years,Not applicable,Slightly dissatisfied,Very dissatisfied,52,Sometimes,Fair
Other,56,male,Some college,Engineering,Employed full-time,Other,6-8 years,0-2 years,Very dissatisfied,Neutral,37,Full-time remote,Fair
India,25,female,Some college,Engineering,Employed part-time,Other,0-2 years,Not applicable,Very satisfied,Slightly satisfied,71,Rarely,Poor
Brazil,37,male,Masters degree,Engineering,Not employed,Front-end developer,0-2 years,3-5 years,Very satisfied,Slightly satisfied,55,Full-time remote,Prefer not to say
United States,64,male,Some college,Mathematics,Employed full-time,Front-end developer,12+ years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,23,Never,Excellent
United States,49,male,Some college,Engineering,Employed part-time,Full-stack developer,9-11 years,Not applicable,Very dissatisfied,Slightly dissatisfied,68,Never,Good
Australia,42,male,Some college,Computer science,Self-employed,Data scientist,0-2 years,9-11 years,Slightly satisfied,Very satisfied,64,Full-time remote,Excellent
India,51,male,Masters degree,Engineering,Self-employed,Full-stack developer,0-2 years,0-2 years,Slightly dissatisfied,Neutral,21,Sometimes,Good
Germany,38,male,Masters degree,Other,Not employed,Other,6-8 years,Not applicable,Neutral,Very satisfied,69,Sometimes,Good
India,19,male,Doctoral degree,Engineering,Student,Full-stack developer,0-2 years,Not applicable,Neutral,Neutral,35,Full-time remote,Good
France,27,male,Bachelors degree,Mathematics,Employed full-time,Full-stack developer,12+ years,9-11 years,Very dissatisfied,Very dissatisfied,25,Never,Prefer not to say
Spain,56,female,Secondary school,Engineering,Not employed,Full-stack developer,0-2 years,12+ years,Slightly satisfied,Neutral,68,Never,Poor
United States,57,male,Bachelors degree,Information systems,Student,Full-stack developer,6-8 years,0-2 years,Very satisfied,Slightly dissatisfied,20,Never,Poor
Germany,56,male,Secondary school,Mathematics,Employed full-time,Full-stack developer,12+ years,9-11 years,Slightly satisfied,Very dissatisfied,71,Most of the time,Poor
Brazil,32,male,Masters degree,Computer science,Employed part-time,Data scientist,9-11 years,6-8 years,Very satisfied,Very satisfied,39,Most of the time,Excellent
Netherlands,40,male,Some college,Computer science,Student,Front-end developer,6-8 years,12+ years,Slightly satisfied,Very dissatisfied,41,Never,Excellent
Canada,18,female,Doctoral degree,Other,Not employed,Front-end developer,3-5 years,12+ years,Slightly satisfied,Slightly satisfied,60,Full-time remote,Good
Brazil,46,female,Masters degree,Computer science,Student,Other,3-5 years,6-8 years,Slightly satisfied,Neutral,59,Most of the time,Good
Australia,63,female,Secondary school,Mathematics,Student,Front-end developer,3-5 years,9-11 years,Very satisfied,Very dissatisfied,69,Sometimes,Good
Netherlands,46,male,Secondary school,Information systems,Employed part-time,Data scientist,3-5 years,Not applicable,Very dissatisfied,Very dissatisfied,34,Rarely,Good
Canada,44,male,Secondary school,Engineering,Employed full-time,Full-stack developer,0-2 years,3-5 years,Neutral,Very satisfied,25,Full-time remote,Fair
France,27,male,Secondary school,Mathematics,Self-employed,Back-end developer,3-5 years,0-2 years,Slightly dissatisfied,Slightly satisfied,36,Most of the time,Fair
Spain,26,female,Doctoral degree,Information systems,Not employed,Front-end developer,3-5 years,0-2 years,Very dissatisfied,Very satisfied,55,Most of the time,Fair
Canada,64,male,Masters degree,Computer science,Employed part-time,Full-stack developer,6-8 years,0-2 years,Neutral,Neutral,27,Sometimes,Poor
Australia,22,male,Some college,Computer science,Self-employed,Other,6-8 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,28,Rarely,Good
Canada,48,male,Some college,Engineering,Not employed,Data scientist,9-11 years,6-8 years,Slightly dissatisfied,Very satisfied,29,Never,Good
United Kingdom,38,male,Secondary school,Other,Employed part-time,Full-stack developer,6-8 years,9-11 years,Neutral,Very satisfied,66,Rarely,Excellent
Netherlands,34,male,Secondary school,Information systems,Employed full-time,Data scientist,3-5 years,3-5 years,Slightly dissatisfied,Slightly satisfied,44,Most of the time,Excellent
Brazil,18,male,Doctoral degree,Other,Student,Full-stack developer,12+ years,Not applicable,Very satisfied,Very dissatisfied,46,Never,Fair
Australia,49,male,Some college,Computer science,Not employed,Full-stack developer,0-2 years,12+ years,Very satisfied,Very dissatisfied,75,Rarely,Fair
Spain,21,male,Secondary school,Other,Student,Back-end developer,12+ years,6-8 years,Slightly satisfied,Slightly satisfied,26,Full-time remote,Good
Spain,59,male,Secondary school,Information systems,Not employed,Full-stack developer,6-8 years,9-11 years,Slightly dissatisfied,Slightly satisfied,49,Full-time remote,Good
India,38,male,Masters degree,Engineering,Employed full-time,Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Neutral,42,Full-time remote,Fair
Spain,20,male,Bachelors degree,Information systems,Employed full-time,Back-end developer,0-2 years,6-8 years,Very dissatisfied,Slightly satisfied,22,Rarely,Excellent
Netherlands,38,female,Masters degree,Mathematics,Employed full-time,Front-end developer,6-8 years,9-11 years,Slightly dissatisfied,Very satisfied,74,Sometimes,Good
France,29,female,Some college,Mathematics,Student,Full-stack developer,12+ years,3-5 years,Neutral,Slightly dissatisfied,75,Most of the time,Fair
France,26,other,Doctoral degree,Other,Not employed,Data scientist,6-8 years,9-11 years,Very satisfied,Slightly satisfied,54,Rarely,Fair
Other,26,male,Doctoral degree,Engineering,Student,Front-end developer,9-11 years,9-11 years,Very dissatisfied,Very satisfied,80,Never,Good
Spain,52,male,Bachelors degree,Mathematics,Employed full-time,Full-stack developer,9-11 years,3-5 years,Very satisfied,Slightly dissatisfied,22,Never,Excellent
Brazil,55,male,Masters degree,Engineering,Student,Other,3-5 years,3-5 years,Very dissatisfied,Slightly satisfied,43,Full-time remote,Fair
Spain,37,male,Doctoral degree,Mathematics,Student,Front-end developer,3-5 years,9-11 years,Very satisfied,Slightly satisfied,42,Most of the time,Excellent
Germany,25,female,Masters degree,Computer science,Employed full-time,Other,12+ years,9-11 years,Neutral,Very dissatisfied,61,Rarely,Poor
Canada,56,male,Some college,Other,Employed part-time,Full-stack developer,12+ years,3-5 years,Very dissatisfied,Neutral,48,Most of the time,Good
Other,26,male,Bachelors degree,Other,Employed full-time,Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Slightly satisfied,21,Most of the time,Excellent
United Kingdom,48,male,Masters degree,Engineering,Self-employed,Other,9-11 years,3-5 years,Neutral,Slightly dissatisfied,47,Most of the time,Good
Germany,54,other,Some college,Mathematics,Employed full-time,Full-stack developer,3-5 years,6-8 years,Slightly satisfied,Neutral,75,Full-time remote,Excellent
India,36,female,Bachelors degree,Other,Self-employed,Back-end developer,6-8 years,0-2 years,Slightly satisfied,Neutral,68,Most of the time,Fair
Canada,37,male,Masters degree,Information systems,Not employed,Front-end developer,9-11 years,9-11 years,Very dissatisfied,Slightly dissatisfied,22,Never,Fair
United Kingdom,23,male,Bachelors degree,Computer science,Employed full-time,Front-end developer,0-2 years,12+ years,Very dissatisfied,Very satisfied,58,Full-time remote,Excellent
Other,33,male,Doctoral degree,Information systems,Employed part-time,Data scientist,6-8 years,6-8 years,Slightly dissatisfied,Very dissatisfied,33,Most of the time,Fair
United Kingdom,34,male,Bachelors degree,Other,Employed full-time,Back-end developer,0-2 years,0-2 years,Very dissatisfied,Very dissatisfied,53,Never,Good
India,32,male,Doctoral degree,Information systems,Not employed,Data scientist,0-2 years,Not applicable,Very satisfied,Very satisfied,20,Most of the time,Fair
Canada,25,male,Doctoral degree,Engineering,Not employed,Data scientist,6-8 years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,57,Sometimes,Poor
France,53,male,Secondary school,Other,Employed full-time,Data scientist,12+ years,3-5 years,Very dissatisfied,Slightly dissatisfied,35,Never,Good
France,26,female,Bachelors degree,Information systems,Employed full-time,Front-end developer,6-8 years,9-11 years,Slightly dissatisfied,Slightly dissatisfied,48,Full-time remote,Fair
United States,62,male,Masters degree,Engineering,Employed full-time,Other,0-2 years,9-11 years,Very dissatisfied,Very dissatisfied,49,Sometimes,Good
Germany,19,female,Some college,Other,Not employed,Full-stack developer,12+ years,Not applicable,Slightly satisfied,Very satisfied,21,Sometimes,Good
Canada,58,male,Bachelors degree,Information systems,Student,Full-stack developer,6-8 years,Not applicable,Slightly dissatisfied,Slightly dissatisfied,78,Sometimes,Prefer not to say
Other,33,male,Some college,Computer science,Employed part-time,Front-end developer,6-8 years,12+ years,Very dissatisfied,Very dissatisfied,72,Rarely,Good
Australia,29,male,Some college,Other,Self-employed,Other,0-2 years,12+ years,Very dissatisfied,Slightly satisfied,72,Full-time remote,Good
India,64,male,Bachelors degree,Other,Self-employed,Full-stack developer,9-11 years,12+ years,Slightly dissatisfied,Slightly satisfied,35,Rarely,Good
United Kingdom,48,male,Masters degree,Engineering,Employed part-time,Other,6-8 years,0-2 years,Very dissatisfied,Very satisfied,26,Sometimes,Good
Australia,26,female,Secondary school,Information systems,Employed part-time,Back-end developer,0-2 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,69,Rarely,Good
Netherlands,58,male,Bachelors degree,Other,Self-employed,Full-stack developer,6-8 years,6-8 years,Slightly satisfied,Slightly satisfied,80,Most of the time,Good
Germany,61,male,Secondary school,Information systems,Employed full-time,Front-end developer,12+ years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,76,Never,Good
India,44,male,Secondary school,Other,Employed part-time,Other,3-5 years,3-5 years,Very dissatisfied,Very satisfied,56,Most of the time,Good
Other,39,female,Bachelors degree,Mathematics,Not employed,Data scientist,0-2 years,12+ years,Slightly satisfied,Very satisfied,30,Full-time remote,Good
India,19,male,Doctoral degree,Engineering,Not employed,Data scientist,9-11 years,0-2 years,Very satisfied,Slightly satisfied,78,Most of the time,Excellent
Germany,63,female,Bachelors degree,Other,Self-employed,Back-end developer,12+ years,Not applicable,Neutral,Slightly satisfied,29,Rarely,Excellent
Brazil,21,other,Bachelors degree,Mathematics,Not employed,Back-end developer,12+ years,3-5 years,Slightly dissatisfied,Slightly satisfied,34,Most of the time,Fair
France,30,other,Secondary school,Computer science,Self-employed,Front-end developer,6-8 years,Not applicable,Very dissatisfied,Slightly satisfied,51,Never,Poor
Other,53,female,Secondary school,Computer science,Not employed,Full-stack developer,0-2 years,Not applicable,Neutral,Very satisfied,60,Sometimes,Good
Netherlands,36,male,Doctoral degree,Other,Self-employed,Front-end developer,9-11 years,12+ years,Slightly dissatisfied,Very dissatisfied,22,Rarely,Good
Spain,26,female,Some college,Engineering,Employed full-time,Back-end developer,0-2 years,0-2 years,Very dissatisfied,Slightly satisfied,20,Sometimes,Excellent
Other,58,female,Bachelors degree,Engineering,Employed full-time,Other,0-2 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,26,Rarely,Good
United States,56,male,Secondary school,Mathematics,Student,Data scientist,3-5 years,3-5 years,Slightly satisfied,Very satisfied,78,Never,Prefer not to say
France,49,male,Secondary school,Mathematics,Not employed,Front-end developer,0-2 years,6-8 years,Slightly satisfied,Slightly satisfied,20,Most of the time,Good
United States,56,female,Doctoral degree,Other,Employed full-time,Other,6-8 years,3-5 years,Slightly satisfied,Very dissatisfied,29,Most of the time,Excellent
Spain,64,male,Secondary school,Computer science,Not employed,Full-stack developer,9-11 years,9-11 years,Slightly satisfied,Slightly satisfied,38,Rarely,Poor
Brazil,42,male,Some college,Engineering,Not employed,Back-end developer,12+ years,Not applicable,Very satisfied,Very satisfied,41,Sometimes,Excellent
Australia,37,male,Some college,Computer science,Employed full-time,Data scientist,12+ years,0-2 years,Neutral,Slightly dissatisfied,61,Sometimes,Excellent
Spain,38,male,Bachelors degree,Other,Self-employed,Front-end developer,0-2 years,6-8 years,Neutral,Very dissatisfied,32,Sometimes,Fair
Other,40,female,Bachelors degree,Mathematics,Employed part-time,Front-end developer,0-2 years,6-8 years,Slightly dissatisfied,Slightly dissatisfied,62,Rarely,Excellent
Spain,52,male,Masters degree,Mathematics,Employed full-time,Back-end developer,6-8 years,0-2 years,Slightly dissatisfied,Very dissatisfied,75,Full-time remote,Fair
Australia,23,female,Bachelors degree,Engineering,Employed full-time,Full-stack developer,6-8 years,6-8 years,Slightly dissatisfied,Very satisfied,71,Most of the time,Excellent
India,27,male,Bachelors degree,Mathematics,Self-employed,Full-stack developer,12+ years,12+ years,Slightly dissatisfied,Slightly satisfied,66,Most of the time,Good
Netherlands,29,male,Masters degree,Engineering,Employed full-time,Data scientist,6-8 years,3-5 years,Very dissatisfied,Very satisfied,42,Never,Fair
Netherlands,19,male,Some college,Engineering,Self-employed,Back-end developer,3-5 years,12+ years,Neutral,Neutral,43,Rarely,Excellent
Canada,31,male,Some college,Mathematics,Self-employed,Other,3-5 years,9-11 years,Very dissatisfied,Slightly dissatisfied,72,Never,Good
Netherlands,34,female,Masters degree,Mathematics,Self-employed,Front-end developer,6-8 years,6-8 years,Very satisfied,Very dissatisfied,38,Sometimes,Good
India,36,male,Secondary school,Information systems,Self-employed,Back-end developer,12+ years,12+ years,Very dissatisfied,Very dissatisfied,73,Rarely,Good
Brazil,36,female,Some college,Computer science,Self-employed,Back-end developer,9-11 years,0-2 years,Very dissatisfied,Slightly dissatisfied,29,Most of the time,Excellent
Germany,46,male,Doctoral degree,Engineering,Not employed,Other,3-5 years,12+ years,Slightly dissatisfied,Very satisfied,42,Never,Good
United States,30,male,Some college,Other,Employed part-time,Back-end developer,9-11 years,12+ years,Very dissatisfied,Slightly dissatisfied,36,Rarely,Prefer not to say
India,26,male,Doctoral degree,Engineering,Student,Other,6-8 years,6-8 years,Neutral,Slightly satisfied,70,Sometimes,Fair
Netherlands,19,male,Doctoral degree,Engineering,Employed full-time,Back-end developer,3-5 years,Not applicable,Slightly satisfied,Very dissatisfied,66,Most of the time,Good
Australia,53,male,Masters degree,Other,Employed full-time,Back-end developer,3-5 years,6-8 years,Slightly satisfied,Slightly satisfied,60,Rarely,Fair
Spain,40,male,Secondary school,Other,Employed part-time,Full-stack developer,3-5 years,Not applicable,Very satisfied,Very dissatisfied,25,Rarely,Good
Germany,41,male,Bachelors degree,Mathematics,Employed part-time,Full-stack developer,9-11 years,Not applicable,Neutral,Very dissatisfied,47,Most of the time,Fair
United Kingdom,35,female,Doctoral degree,Engineering,Student,Front-end developer,12+ years,6-8 years,Very satisfied,Neutral,29,Full-time remote,Good
United States,33,female,Doctoral degree,Information systems,Student,Data scientist,12+ years,6-8 years,Very satisfied,Very dissatisfied,74,Sometimes,Good
Germany,64,male,Doctoral degree,Information systems,Student,Back-end developer,3-5 years,12+ years,Slightly dissatisfied,Slightly satisfied,28,Never,Poor
United Kingdom,42,female,Some college,Engineering,Not employed,Other,9-11 years,6-8 years,Very dissatisfied,Very dissatisfied,51,Full-time remote,Good
United States,33,male,Some college,Information systems,Self-employed,Back-end developer,6-8 years,0-2 years,Very dissatisfied,Neutral,52,Most of the time,Fair
United Kingdom,19,male,Masters degree,Mathematics,Not employed,Back-end developer,12+ years,9-11 years,Very dissatisfied,Slightly dissatisfied,70,Full-time remote,Fair
Brazil,59,male,Doctoral degree,Mathematics,Not employed,Back-end developer,0-2 years,3-5 years,Slightly satisfied,Very dissatisfied,26,Full-time remote,Excellent
Australia,56,male,Masters degree,Mathematics,Employed full-time,Other,3-5 years,6-8 years,Slightly dissatisfied,Very satisfied,53,Full-time remote,Good
Canada,25,male,Bachelors degree,Information systems,Student,Back-end developer,12+ years,9-11 years,Very dissatisfied,Very satisfied,56,Rarely,Good
Netherlands,20,male,Doctoral degree,Mathematics,Self-employed,Back-end developer,9-11 years,9-11 years,Very satisfied,Slightly satisfied,50,Rarely,Poor
Canada,38,male,Some college,Engineering,Self-employed,Back-end developer,3-5 years,0-2 years,Slightly dissatisfied,Slightly satisfied,47,Full-time remote,Good
Brazil,53,male,Masters degree,Engineering,Employed full-time,Full-stack developer,0-2 years,12+ years,Very dissatisfied,Slightly dissatisfied,54,Rarely,Good
United States,36,male,Secondary school,Engineering,Student,Full-stack developer,9-11 years,Not applicable,Very dissatisfied,Slightly dissatisfied,75,Full-time remote,Excellent
Canada,63,male,Doctoral degree,Other,Employed full-time,Front-end developer,12+ years,3-5 years,Slightly satisfied,Slightly dissatisfied,23,Sometimes,Good
Brazil,29,other,Doctoral degree,Computer science,Self-employed,Full-stack developer,9-11 years,9-11 years,Very satisfied,Very dissatisfied,45,Never,Fair
United States,36,male,Doctoral degree,Other,Student,Other,0-2 years,0-2 years,Neutral,Slightly satisfied,36,Rarely,Fair
Canada,35,male,Masters degree,Mathematics,Employed part-time,Full-stack developer,6-8 years,12+ years,Neutral,Slightly satisfied,38,Most of the time,Fair
Brazil,61,male,Some college,Computer science,Employed full-time,Full-stack developer,6-8 years,6-8 years,Very dissatisfied,Neutral,43,Never,Excellent
Germany,57,male,Doctoral degree,Computer science,Employed full-time,Full-stack developer,0-2 years,6-8 years,Very dissatisfied,Neutral,53,Most of the time,Good
Brazil,59,female,Masters degree,Engineering,Employed full-time,Data scientist,3-5 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,31,Never,Good
Australia,35,male,Some college,Mathematics,Not employed,Other,0-2 years,0-2 years,Slightly satisfied,Very dissatisfied,74,Full-time remote,Fair
