age,country,employment,remotework,orgsize,comptotal,jobsat,convertedcompyearly,industry
35-44 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",220000.0,8.0,220000.0,Software Development
25-34 years old,Brazil,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,20 to 99 employees,57000.0,9.0,10630.0,"Internet, Telecomm or Information Services"
35-44 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",250000.0,8.0,250000.0,"Transportation, or Supply Chain"
55-64 years old,United States of America,"Employed, full-time",Remote,10 to 19 employees,140000.0,10.0,140000.0,Software Development
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,59000.0,8.0,75159.0,Manufacturing
45-54 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,150000.0,8.0,150000.0,Software Development
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,20 to 99 employees,82000.0,8.0,104458.0,Healthcare
45-54 years old,United States of America,"Employed, full-time",Remote,2 to 9 employees,100000.0,8.0,100000.0,Other:
25-34 years old,Ireland,"Employed, full-time",Remote,2 to 9 employees,44000.0,2.0,47259.0,"Internet, Telecomm or Information Services"
65 years or older,United States of America,"Employed, full-time",Remote,100 to 499 employees,150000.0,9.0,150000.0,"Internet, Telecomm or Information Services"
35-44 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,150000.0,6.0,150000.0,Insurance
25-34 years old,United States of America,"Employed, full-time",In-person,"10,000 or more employees",432000.0,8.0,432000.0,"Internet, Telecomm or Information Services"
25-34 years old,Ukraine,"Employed, full-time",Remote,500 to 999 employees,70500.0,5.0,1740.0,Retail and Consumer Services
55-64 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",120000.0,8.0,152865.0,Software Development
45-54 years old,Italy,"Employed, full-time",Remote,500 to 999 employees,27000.0,6.0,29000.0,Software Development
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",53000.0,9.0,67516.0,"Transportation, or Supply Chain"
55-64 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",185000.0,5.0,185000.0,Retail and Consumer Services
25-34 years old,Spain,"Employed, full-time",Remote,10 to 19 employees,85000.0,6.0,91295.0,Insurance
18-24 years old,India,"Employed, part-time",Remote,2 to 9 employees,500000.0,4.0,5982.0,Retail and Consumer Services
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",63000.0,2.0,67666.0,Software Development
25-34 years old,Italy,"Employed, full-time",Remote,20 to 99 employees,140000.0,6.0,178343.0,Healthcare
25-34 years old,France,"Employed, full-time",In-person,100 to 499 employees,59000.0,7.0,63370.0,Manufacturing
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,20 to 99 employees,67000.0,4.0,85350.0,Media & Advertising Services
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",120000.0,9.0,120000.0,"Internet, Telecomm or Information Services"
25-34 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",205000.0,7.0,205000.0,Banking/Financial Services
25-34 years old,Cyprus,"Employed, full-time",Remote,100 to 499 employees,87500.0,6.0,93980.0,Software Development
35-44 years old,Paraguay,"Independent contractor, freelancer, or self-employed",Remote,20 to 99 employees,100000.0,7.0,100000.0,Fintech
18-24 years old,Switzerland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,115000.0,9.0,128129.0,Banking/Financial Services
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,41000.0,9.0,44037.0,Other:
45-54 years old,United States of America,"Employed, full-time",Remote,20 to 99 employees,300000.0,9.0,300000.0,Software Development
45-54 years old,Ireland,"Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",100 to 499 employees,150000.0,10.0,161109.0,Computer Systems Design and Services
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",83000.0,6.0,89147.0,Other:
25-34 years old,Lithuania,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",84000.0,5.0,90221.0,Software Development
25-34 years old,United States of America,"Employed, full-time",Remote,20 to 99 employees,190000.0,0.0,190000.0,"Transportation, or Supply Chain"
18-24 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",In-person,20 to 99 employees,25000.0,10.0,31847.0,"Internet, Telecomm or Information Services"
55-64 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,50000.0,8.0,53703.0,Software Development
25-34 years old,Slovenia,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",100 to 499 employees,50000.0,8.0,53703.0,Healthcare
35-44 years old,Romania,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,"1,000 to 4,999 employees",150000.0,10.0,161109.0,Software Development
35-44 years old,Spain,"Employed, full-time",Remote,20 to 99 employees,30000.0,2.0,32222.0,Healthcare
25-34 years old,India,"Employed, full-time",Remote,20 to 99 employees,4000000.0,10.0,47854.0,Software Development
18-24 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,118000.0,7.0,118000.0,Manufacturing
45-54 years old,United States of America,"Employed, full-time",In-person,100 to 499 employees,150000.0,2.0,150000.0,Software Development
35-44 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",87250.0,9.0,87250.0,Manufacturing
18-24 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,52000.0,5.0,55851.0,Software Development
45-54 years old,Spain,"Employed, full-time",Remote,100 to 499 employees,40000.0,8.0,42962.0,Computer Systems Design and Services
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,85000.0,7.0,91295.0,Software Development
45-54 years old,Russian Federation,"Employed, full-time",Remote,20 to 99 employees,5000000.0,9.0,56022.0,Software Development
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",124000.0,9.0,124000.0,Software Development
18-24 years old,Brazil,"Employed, full-time",In-person,100 to 499 employees,54000.0,2.0,10070.0,Software Development
25-34 years old,Italy,"Employed, full-time",Remote,100 to 499 employees,85000.0,8.0,91295.0,Software Development
55-64 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",120000.0,9.0,120000.0,Government
25-34 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,41000.0,8.0,44037.0,Software Development
45-54 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,5800.0,8.0,6230.0,Software Development
25-34 years old,India,"Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,3600000.0,10.0,43068.0,Insurance
45-54 years old,Germany,"Employed, full-time",Remote,20 to 99 employees,130000.0,2.0,139628.0,"Internet, Telecomm or Information Services"
25-34 years old,Canada,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,250000.0,8.0,181732.0,"Internet, Telecomm or Information Services"
45-54 years old,United States of America,"Independent contractor, freelancer, or self-employed",Remote,2 to 9 employees,250000.0,8.0,250000.0,Software Development
35-44 years old,Japan,"Employed, full-time",In-person,100 to 499 employees,8000000.0,8.0,50915.0,Other:
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",39000.0,7.0,49681.0,Manufacturing
25-34 years old,Latvia,"Employed, full-time",In-person,2 to 9 employees,30000.0,8.0,32222.0,Software Development
25-34 years old,United States of America,"Employed, full-time",In-person,100 to 499 employees,257000.0,8.0,257000.0,"Internet, Telecomm or Information Services"
35-44 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",163000.0,7.0,163000.0,Healthcare
25-34 years old,Sweden,"Employed, full-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",740000.0,9.0,70584.0,Other:
25-34 years old,Costa Rica,"Employed, full-time",Remote,20 to 99 employees,200000.0,8.0,200000.0,"Internet, Telecomm or Information Services"
35-44 years old,Poland,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",300000.0,8.0,74239.0,Software Development
18-24 years old,India,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",800000.0,4.0,9571.0,Media & Advertising Services
35-44 years old,France,"Employed, full-time",In-person,"1,000 to 4,999 employees",62000.0,8.0,66592.0,Higher Education
65 years or older,United Kingdom of Great Britain and Northern Ireland,"Employed, part-time",Remote,"10,000 or more employees",45000.0,10.0,57325.0,Other:
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, part-time","Hybrid (some remote, some in-person)",20 to 99 employees,44000.0,7.0,56051.0,Other:
35-44 years old,Italy,"Employed, full-time",In-person,2 to 9 employees,26000.0,8.0,27926.0,Software Development
25-34 years old,United States of America,"Employed, full-time",Remote,"5,000 to 9,999 employees",105000.0,9.0,105000.0,Retail and Consumer Services
35-44 years old,Czech Republic,"Employed, full-time",In-person,100 to 499 employees,1000000.0,2.0,43435.0,Banking/Financial Services
35-44 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,70000.0,5.0,70000.0,Higher Education
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,20 to 99 employees,100000.0,8.0,127388.0,Banking/Financial Services
35-44 years old,Canada,"Employed, full-time",Remote,100 to 499 employees,168000.0,9.0,122124.0,Software Development
35-44 years old,Spain,"Employed, full-time",Remote,"1,000 to 4,999 employees",75000.0,7.0,80555.0,Media & Advertising Services
35-44 years old,Norway,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,1600000.0,8.0,149746.0,Government
25-34 years old,Austria,"Employed, full-time",Remote,100 to 499 employees,75000.0,1.0,80555.0,Fintech
25-34 years old,United States of America,"Employed, full-time",Remote,20 to 99 employees,175000.0,2.0,175000.0,Software Development
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,53800.0,2.0,68535.0,Banking/Financial Services
25-34 years old,United States of America,"Employed, full-time",In-person,100 to 499 employees,120000.0,8.0,120000.0,Other:
35-44 years old,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,10 to 19 employees,80000.0,6.0,80000.0,Other:
35-44 years old,Poland,"Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,120000.0,7.0,120000.0,Software Development
18-24 years old,Ukraine,"Student, full-time;Independent contractor, freelancer, or self-employed",Remote,100 to 499 employees,6750.0,9.0,167.0,Software Development
25-34 years old,Portugal,"Employed, full-time","Hybrid (some remote, some in-person)",2 to 9 employees,120000.0,8.0,128887.0,Software Development
45-54 years old,Finland,"Employed, full-time",Remote,100 to 499 employees,79000.0,7.0,84851.0,Banking/Financial Services
35-44 years old,Canada,"Employed, full-time",Remote,100 to 499 employees,120000.0,0.0,87231.0,Software Development
35-44 years old,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",100 to 499 employees,163000.0,9.0,163000.0,"Internet, Telecomm or Information Services"
25-34 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,73200.0,10.0,78621.0,Software Development
25-34 years old,Netherlands,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",60000.0,9.0,64444.0,Banking/Financial Services
25-34 years old,Lithuania,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,80000.0,9.0,85925.0,Other:
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,2 to 9 employees,66000.0,6.0,84076.0,Software Development
35-44 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",78000.0,6.0,83777.0,Other:
35-44 years old,Ukraine,"Employed, full-time",Remote,10 to 19 employees,72000.0,8.0,72000.0,"Transportation, or Supply Chain"
25-34 years old,United States of America,"Employed, full-time",In-person,"5,000 to 9,999 employees",150000.0,7.0,150000.0,"Transportation, or Supply Chain"
25-34 years old,Canada,"Employed, full-time",Remote,"10,000 or more employees",170000.0,6.0,123578.0,Software Development
25-34 years old,Finland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,43000.0,5.0,46185.0,Healthcare
25-34 years old,United States of America,"Employed, full-time",In-person,100 to 499 employees,92000.0,7.0,92000.0,Manufacturing
55-64 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,100 to 499 employees,63000.0,8.0,80254.0,Software Development
55-64 years old,United States of America,"Employed, full-time",In-person,20 to 99 employees,118106.0,10.0,118106.0,Higher Education
25-34 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",110000.0,0.0,110000.0,Government
35-44 years old,Cyprus,"Employed, full-time",Remote,100 to 499 employees,150000.0,5.0,161109.0,Software Development
35-44 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",215000.0,10.0,215000.0,Fintech
25-34 years old,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Remote,10 to 19 employees,145000.0,8.0,145000.0,Other:
25-34 years old,India,"Employed, full-time",In-person,100 to 499 employees,3500000.0,9.0,41872.0,Other:
25-34 years old,Czech Republic,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,70000.0,8.0,3040.0,"Internet, Telecomm or Information Services"
35-44 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",1000000.0,8.0,1000000.0,Retail and Consumer Services
25-34 years old,United States of America,"Employed, full-time",Remote,500 to 999 employees,195000.0,3.0,195000.0,Other:
55-64 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,165000.0,10.0,165000.0,Computer Systems Design and Services
25-34 years old,Netherlands,"Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)",2 to 9 employees,34000.0,10.0,36518.0,Software Development
35-44 years old,South Africa,"Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",1400000.0,9.0,75332.0,Fintech
25-34 years old,Pakistan,"Employed, full-time",In-person,10 to 19 employees,3600000.0,5.0,12921.0,Software Development
25-34 years old,Ukraine,"Employed, full-time;Independent contractor, freelancer, or self-employed",Remote,20 to 99 employees,24000.0,5.0,24000.0,Software Development
18-24 years old,United States of America,"Employed, full-time",Remote,500 to 999 employees,98000.0,7.0,98000.0,Software Development
45-54 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)",2 to 9 employees,50000.0,10.0,53703.0,Software Development
35-44 years old,United States of America,"Employed, full-time",Remote,20 to 99 employees,175000.0,9.0,175000.0,Software Development
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,159000.0,10.0,159000.0,Software Development
35-44 years old,United States of America,"Employed, full-time",Remote,"5,000 to 9,999 employees",155000.0,7.0,155000.0,Other:
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,100000.0,7.0,127388.0,Fintech
18-24 years old,Romania,"Employed, full-time","Hybrid (some remote, some in-person)",10 to 19 employees,72000.0,8.0,15536.0,Software Development
35-44 years old,Canada,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",450000.0,9.0,327118.0,Software Development
25-34 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",257695.0,4.0,257695.0,Software Development
45-54 years old,France,"Employed, full-time",In-person,2 to 9 employees,67000.0,8.0,71962.0,Computer Systems Design and Services
45-54 years old,Germany,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,51000.0,6.0,54777.0,Software Development
25-34 years old,Israel,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,372000.0,8.0,100381.0,"Internet, Telecomm or Information Services"
45-54 years old,Finland,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",75000.0,7.0,80555.0,Software Development
18-24 years old,Finland,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, part-time",Remote,"1,000 to 4,999 employees",223000.0,10.0,239516.0,Software Development
45-54 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)","10,000 or more employees",170000.0,6.0,170000.0,Manufacturing
45-54 years old,Serbia,"Employed, full-time",Remote,20 to 99 employees,45000.0,8.0,413.0,Media & Advertising Services
35-44 years old,United States of America,"Employed, full-time",Remote,500 to 999 employees,190000.0,7.0,190000.0,Energy
18-24 years old,Croatia,"Student, full-time;Employed, part-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",156000.0,5.0,167554.0,Software Development
25-34 years old,Poland,"Employed, full-time",Remote,20 to 99 employees,156000.0,3.0,38604.0,Other:
35-44 years old,Portugal,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",20 to 99 employees,78000.0,8.0,83777.0,Software Development
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Employed, full-time",Remote,100 to 499 employees,88000.0,8.0,112101.0,Fintech
18-24 years old,United States of America,"Employed, full-time",In-person,100 to 499 employees,85000.0,7.0,85000.0,"Internet, Telecomm or Information Services"
25-34 years old,Brazil,"Employed, full-time",Remote,100 to 499 employees,185586.0,6.0,34609.0,Banking/Financial Services
25-34 years old,Ukraine,"Employed, full-time",Remote,20 to 99 employees,10000.0,10.0,10000.0,Software Development
18-24 years old,Ukraine,"Employed, full-time",Remote,20 to 99 employees,1500.0,7.0,1500.0,Software Development
25-34 years old,Israel,"Employed, full-time",In-person,20 to 99 employees,7000.0,5.0,1889.0,Software Development
25-34 years old,Hungary,"Employed, full-time",Remote,2 to 9 employees,16800000.0,6.0,45655.0,Fintech
35-44 years old,Spain,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,18000.0,7.0,19333.0,Software Development
25-34 years old,United States of America,"Employed, full-time",In-person,"10,000 or more employees",500000.0,7.0,500000.0,Other:
35-44 years old,Portugal,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,25000.0,8.0,26852.0,Software Development
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,250.0,7.0,250.0,Fintech
35-44 years old,Israel,"Employed, full-time","Hybrid (some remote, some in-person)",500 to 999 employees,680000.0,7.0,183493.0,Fintech
25-34 years old,Russian Federation,"Employed, full-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",3000000.0,4.0,33613.0,Fintech
35-44 years old,Portugal,"Employed, full-time","Hybrid (some remote, some in-person)","1,000 to 4,999 employees",31000.0,4.0,33296.0,Banking/Financial Services
45-54 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",100 to 499 employees,80000.0,5.0,80000.0,Other:
35-44 years old,United States of America,"Employed, full-time",Remote,"1,000 to 4,999 employees",220000.0,6.0,220000.0,Other:
45-54 years old,United States of America,"Employed, full-time",Remote,100 to 499 employees,100000.0,10.0,100000.0,Government
18-24 years old,France,"Employed, full-time","Hybrid (some remote, some in-person)","5,000 to 9,999 employees",18000.0,2.0,19333.0,Software Development
25-34 years old,United States of America,"Employed, full-time",Remote,"10,000 or more employees",170000.0,9.0,170000.0,Retail and Consumer Services
25-34 years old,United States of America,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,126000.0,3.0,126000.0,Manufacturing
35-44 years old,United States of America,"Employed, full-time;Independent contractor, freelancer, or self-employed",In-person,100 to 499 employees,78000.0,6.0,78000.0,Healthcare
35-44 years old,Bangladesh,"Employed, full-time","Hybrid (some remote, some in-person)",20 to 99 employees,2760000.0,8.0,23454.0,Software Development
